"","AirportID","Name","City","Country","IATA","ICAO","Latitude","Longitude","Altitude","Timezone","DST","TzDatabaseTz","Type","Source"
"8312",9753,"Popham Airfield","Popham","United Kingdom","\N","EGHP",51.193901,-1.23472,550,"0","E","Europe/London","airport","OurAirports"
"8313",9754,"Causey Airport","Liberty","United States","\N","K2A5",35.9118003845215,-79.6175994873047,723,"-5","A","America/New_York","airport","OurAirports"
"8314",9755,"Zhuhai Railway Station","Zhuhai","China","\N","\N",22.218333,113.545,118,"8","N","Asia/Macau","station","User"
"8315",9756,"Silver Creek Airport","Stann Creek","Belize","SVK","\N",16.728417,-88.36925,216,"-6","N","America/Belize","airport","User"
"8316",9757,"Independence Airport","Independence","Belize","INB","\N",16.521944,-88.410583,18,"-6","N","America/Belize","airport","User"
"8317",9758,"Corazon de Jesus Airport","Corazon de Jesus","Panama","CZJ","\N",9.447222,-78.575,8,"-5","N","America/Panama","airport","User"
"8318",9759,"Abaco I Walker C Airport","Walker's Cay","Bahamas","WKR","MYAW",27.2667007446289,-78.3996963500977,10,"-5","A","\N","airport","OurAirports"
"8319",9760,"Black Point Airstrip","Black Point","Bahamas","\N","MYEB",24.0894884488,-76.3979172707,10,"-5","A","America/Nassau","airport","OurAirports"
"8320",9761,"Bartica A Airport","Bartica","Guyana","GFO","SYBT",6.358864,-58.655207,3,"-4","N","America/Guyana","airport","OurAirports"
"8321",9762,"Puerto Ayora","Santa Cruz","Ecuador","\N","\N",-0.73602,-90.31991,93,"-6","U","Pacific/Galapagos","unknown","User"
"8322",9763,"Doylestown Airport","Doylestown","United States","DYL","KDYL",40.3330001831,-75.1222991943,394,"-5","A","America/New_York","airport","OurAirports"
"8323",9764,"Stroudsburg Pocono","East Stroudsburg","United States","ESP","\N",41.035983,-75.160236,146,"-5","A","America/New_York","unknown","User"
"8324",9765,"Sky Manor","Pittstown","United States","N40","\N",40.565328,-74.978872,170,"-5","A","America/New_York","unknown","User"
"8325",9766,"Cape Town Waterfort Heliport","Cap Town","South Africa","\N","FADW",0,0,0,"2","N","Africa/Johannesburg","airport","OurAirports"
"8326",9767,"Jao Airstrip Private","Jao","Botswana","\N","\N",-19.316018,22.594303,3180,"2","N","Africa/Gaborone","unknown","User"
"8327",9768,"Tingo Maria Airport","Tingo Maria","Peru","TGI","SPGM",-9.13300037384033,-75.9499969482422,2010,"-5","N","America/Lima","airport","OurAirports"
"8328",9769,"Plínio Alarcom Airport","Tres Lagoas","Brazil","TJL","SSTL",-20.754199981689,-51.684200286865,1050,"-4","S","America/Campo_Grande","airport","OurAirports"
"8329",9770,"Zhangye Ganzhou Airport","Zhangye","China","YZY","ZLZY",38.8018989563,100.675003052,5280,"8","N","Asia/Shanghai","airport","OurAirports"
"8330",9771,"Cacoal Airport","Cacoal","Brazil","OAL","SSKW",-11.496,-61.4508,778,"-4","N","America/Boa_Vista","airport","OurAirports"
"8331",9772,"Warren Field","Washington","United States","OCW","KOCW",35.570499420166,-77.049797058105,38,"-5","A","America/New_York","airport","OurAirports"
"8332",9773,"Hyde County Airport","Engelhard","United States","\N","K7W6",35.5624008178711,-75.9552001953125,8,"-5","A","America/New_York","airport","OurAirports"
"8333",9774,"Mocopulli Airport","Castro","Chile","MHC","SCPQ",-42.340388,-73.715693,528,"-4","S","America/Santiago","airport","OurAirports"
"8334",9775,"Taximo","Taximo","Russia","\N","UIKG",55.36194,114.93583,1700,"8","N","Asia/Irkutsk","unknown","User"
"8335",9776,"Stillwater Regional Airport","Stillwater","United States","SWO","KSWO",36.161201477051,-97.08570098877,1000,"-6","A","America/Chicago","airport","OurAirports"
